Crop species,Crop name,MonfredaCrop,CropCategory,Breeding,Pollination without visitors,Pollinators and visitors,Positive impact by animal pollination,"Leading crop, commodity",Refs for positive impact,Notes
Brassica rapa (formerly B. campestris),"Turnip rape, Canola",oilseednes,Edible Oil and Proteinaceous,"hermaphrodite, largely self-incompatible","passive self-pollination, wind pollination","honey bees (Apis cerana, A. florea, A. mellifera), solitary bees (Andrena ilerda, O. cornifrons, O. lignaria lignari, Halictus spp.), flies (Eristalis spp., Trichometallea pollinosa)",great,no,Crane 1991; Free 1993; Schittenhelm et al. 1997; Abel & Wilson 1999; Delaplane & Mayer 2000; Westcott & Nelson 2001; Abel et al. 2003,differ greatly among varieties;
Carthamus tinctorius,safflower,safflower,Edible Oil and Proteinaceous,"hermaphrodite, self-compatible",variable passive self-pollination,"honey bees (Apis cerana, A. mellifera), solitary bees",little,no,Crane 1991; Free 1993; Dajue & Mündel 1996,differ greatly among varieties;
Cocos nucifera,Coconut,coconut,Edible Oil and Proteinaceous,"monoecious, partially self-compatible","passive self-pollination, little wind pollination","honey bees, stingless bees",modest,yes,Free 1993; Da Conceicao et al. 2004; Meléndez-Ramírez et al. 2004,
Elaeis guineensis,Oil palm,oilpalm,Edible Oil and Proteinaceous,monoecious,wind pollination,"weevils (Elaeidobius sp.), thrips (Thrips hawaiiensis)",little,yes,Free 1993; Dhileepan 1994; Westerkamp & Gottsberger 2000; Tandon et al. 2001; Krantz & Poinar 2004; Mayfield 2005 (but no effects of forest distance on pollination),
"Glycine max, G. soja",Soybean,soybean,Edible Oil and Proteinaceous,"hermaphrodite, self-compatible",passive self-pollination (most varieties cleistogamous),"honey bees (Apis mellifera), bumble bees, solitary bees, (Megachile rotundata)",modest,yes,"Koelling et al. 1981; Free 1993; Moreti et al. 1998; Nogueira-Couto et al. 1998 for G. wightii; Chiari et al. 2005a,b","(vary greatly among varieties, no benefit found by Ray et al. 2003 and some studies in Free 1993)"
"Gossypium hirsutum, G. barbadense, G. arboreum, G. herbaceum",Seedcotton,oilseedfor,Edible Oil and Proteinaceous,"hermaphrodite, self-compatible",passive self-pollination,"honey bees (Apis sp.), bumble bees (Bombus sp.), solitary bees (mainly Xylocopa sp.), wasps",modest,yes,Free 1993; Rhodes 2002,
Helianthus annuus,Sunflower seeds,sunflower,Edible Oil and Proteinaceous,"dichogamous, variable level of self-compatibility among varieties","passive self-pollination, but very low","honey bees (Apis cerana, A. mellifera), bumble bees, solitary bees, stingless bees (Trigona iridipennis)",modest,yes,"Bichee & Sharma 1988; Crane 1991; Free 1993; DeGrandi-Hoffman & Martin 1993; Moreti et al. 1996; Heard 1999; DeGrandi-Hoffman & Watkins 2000; Dag et al. 2002; Greenleaf 2005, Greenleaf & Kremen 2006b",
Linum usitatissimum,Flaxseed,oilseednes,Edible Oil and Proteinaceous,"hermaphrodite, self-compatible","passive self-pollination, wind pollination","honey bees (Apis sp.), bumble bees",little,no,Free 1993 (only in some varieties),
Olea europaea,Olive,olive,Edible Oil and Proteinaceous,"andro-monoecious, variable level of self-incompatibility among varieties","passive self-pollination, wind pollination",honey bees visit flowers occasionally,no increase,yes,Free 1993; Singh 1997,(differ greatly among varieties) some authors classify olives to have little benefit according to Griggs et al. 1975
Sesamum indicum,Sesame,sesame,Edible Oil and Proteinaceous,"hermaphrodite, self-compatible",passive self-pollination,"honey bees (Apis cerana, A. mellifera), solitary bees, wasps, flies",modest,no,Free 1993; Crane 1991,
Vicia faba,"Broad bean, Faba bean, Field bean, Horse bean",broadbean,Edible Oil and Proteinaceous,"hermaphrodite, self-compatible",variable level of passive self-pollination among varieties,"honey bees (Apis mellifera), bumble bees (Bombus lapidarius, B. pascuorum, B. hortorum), solitary bees (Anthophora plumipes, Eucera spp., Megachile rotundata)",modest,yes,Free 1993; Le Guen et al. 1993; Suso et al. 1996; Bond & Kirby 1999; Pierre et al. 1999; Somerville 1999,
Vitellaria paradoxa (syn. Butyrospermum paradoxum),"Karite nuts, Sheanuts",oilseednes,Edible Oil and Proteinaceous,hermaphrodite,,honey bees (Apis mellifera adansonii),modest,no,Millogo-Rasolodimby 1989; Kelly et al. 2004; Sanou et al. 2005; Tchuenguem Fohouo et al. 2005,
"Coffea arabica, C. canephora",Coffee,coffee,Stimulant,"hermaphrodite, variable level of self-compatibility","passive self-pollination (mainly C. arabica), wind-pollination (mainly C. canephora)","honey bees (Apis dorsata A. mellifera,), stingless bees (Trigona (Lepidotrigona) terminata), solitary bees (Creightonella frontalis, Xylocopa (Zonohirsuta dejeanii)",modest/great,yes,"Free 1993; Malerbo-Souza & Nogueira-Couto 1997; Manrique & Thimann 2002; Roubik 2002a,b; Klein et al. 2003a,b,c; De Marco & Coelho 2004; Ricketts et al. 2004; Ricketts 2004",
"Cola nitida, C. vera, C. acuminata","Cola nut, Kola nut",kolanut,Stimulant,"hermaphrodite, andro-monoecious, self-incompatible",,flies,great (indirect),no,McGregor 1976; Jacob 1980; Osei 1995-1996,
